job_name,company_name,salary_low,salary_high,location,experience,education,company_size,industry,description,salary_mid,skill_Python,skill_SQL,skill_Excel,skill_Pandas,skill_NumPy,skill_Tableau,skill_PowerBI,skill_机器学习,skill_数据挖掘,skill_爬虫,skill_Spark,skill_Hadoop,skill_统计分析,skill_可视化,skill_A/B测试,skill_MySQL,skill_Hive,skill_ETL,skill_数据仓库,skill_FineBI
图像/Agent (python),赛维诺网络,15.0,25.0,浦东新区,3-5年,本科,100-499人,互联网," 岗位职责:
1. 负责图像处理和分析任务
2. 开发和维护图像识别系统
3. 与团队合作，确保项目按时交付
任职要求:
1. 熟练掌握Python编程语言
2. 具备良好的问题解决能力和创新思维
3. 能够高效协作，适应快节奏的工作环境",20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python后端工程师（现场复试）,深圳中迈,15.0,20.0,浦东新区,3-5年,本科,500-999人,计算机服务," 职位描述:
1负责具身数据规模化数据治理相关工程研发:
2工作范围涉及高质量的设计和编码、服务性能监控调优等多个方向；
3可以持续关注服务各项性能指标，不断改进后台服务的质量；
职位要求：
4本科以上学历
5良好的设计和编码品味，热爱写代码，能产出高质量的设计和代码。
6熟悉常见的数据结构和算法，python基础扎实。
7有大规模数据处理、清洗、治理相关工作经验； 汽车领域、AI领域数据处理项目工作优先；
8善于交流，有良好的沟通能力和团队协作能力。
加分项：
9熟悉了解容器化概念，有分布式高可用、高并发项目研发经验；
10熟悉常见CI、CD工具；",17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python开发,人人视频,15.0,30.0,杨浦区,3-5年,本科,100-499人,互联网,"Python//PyTorch//MySQL//Spark//爬虫经验//机器学习经验//大模型AI开发//Python Web 框架//AI浏览器//AI搜索//AI知识问答 职位详情：
 1、深度参与公司AI 浏览器核心 AI 模块的开发，包括 AI 搜索、AI 工具、智能网盘等场景，配合产品需求完成大模型方案的技术设计与落地；
 2、负责基于 Python 搭建并优化各类开源大模型（LLM/多模态模型/RAG等），并完成大模型在业务侧的对接和 API 封装；
 3、承担项目主力研发角色，具备跨团队沟通能力，能够协调产品、前后端、算法等多方资源，推动项目顺利进行；
 4、对接和集成各大模型服务，如 OpenAI、Claude、Mistral、Gemini、Moonshot 等，完成提示词设计、多模态能力、Function-Call 等功能的研发；
 5、通过持续的模型调优、性能监控与技术迭代，保障大模型服务的高可用、稳定性和快速响应；
 6、参与公司 AI 技术能力的规划与建设，沉淀共用组件、SDK、提示词模板等，持续推动核心技术平台化；
 7、积极组织团队内的技术分享，促进成员对大模型、AI 工具链的理解与能力提升。
岗位基本要求：
 1、本科及以上学历，具备扎实的编程基础、优秀的 Python 编程能力和问题解决能力；
 2、三年以上 Python 后端/AI 工程相关开发经验，熟悉基于 Python 调用大模型 API 并完成对接落地；
 3、熟悉开源大模型的使用、微调及部署（LLaMA、Qwen、Mistral、SDXL 等任意一种），了解 RAG、提示词工程、Function-Call 等大模型关键技术；
 4、掌握常见 Python Web 框架（FastAPI/Django/Flask），能够独立完成后端服务开发；
 5、了解或使用过 ComfyUI、Coze、Dify 等 AI 工作流平台者优先；
 6、有一定的模型微调或自建模型服务经验者优先；
 7、熟悉分布式系统基本概念，了解 Redis、MySQL 等常用中间件的使用；
 8、对 AI、搜索、智能工具有浓厚兴趣，有快速学习和技术研究的能力；
 9、具备良好的沟通能力、团队合作精神、结果导向意识和独立解决问题的能力。
加分项：
 1、有 AI 产品（如 AI 搜索、AI 问答、AI 辅助创作等）开发或优化经验；
 2、对 1-2 个开源大模型框架（Transformers、LangChain、LlamaIndex、Haystack 等）有深入使用经验；
 4、有参与百万级并发/大型分布式项目的经验；
 5、有 App 或浏览器项目开发经验。
岗位亮点：
 1、能够完整参与 AI 浏览器从 0 到用户日活百万、千万的全流程研发；
 2、AI 浏览器是公司战略级项目，技术难题和成长空间充足，能够深度积累 AI 技术落地经验；
 3、加入视频垂直领域龙头企业，与公司共同成长，快速实现个人能力跃迁。",22.5,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
python开发（初级-中级-高级）,汉朔公司,13.0,18.0,浦东新区,3-5年,本科,1000-9999人,计算机服务,"MySQL//Python 1、计算机相关专业背景或具备岗位所需同等专业能力，有金融行业项目经验;
2、熟悉PYTHOM、JAVA、SQL、SHELL等相关语言或技术开发经验，有相关项目经验者有限;(必须有PYTHON项目开发经验)
3、对算法开发和建模有经验， 如统计算法，包括SVI、线性回归、K-eans、PCA等以及相关模型验证指标计算;(必须有相关算法项目经验)
4、具备责任心、良好的团队合作精神和沟通意识;
5、熟悉债券投资交易等领域，了解基础金融知识，有相关证书优先考虑，如CPA、CFA、会计从业、基金从业、证券从业者优先。",15.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Python,新致软件,12.0,16.0,普陀区,5年以上,大专,1000-9999人,计算机软件," 岗位职责：
## 岗位职责
1. 参与过人工智能相关项目的研发工作，包括算法实现、模型部署与优化
2. 熟悉RPA（机器人流程自动化）项目的设计与开发，构建高效、稳定的自动化流程
3. 熟悉LangChain、LangGraph等框架设计并实现Agent自动化流程编排
4. 深入理解业务场景，将复杂业务流程转化为可自动化的技术方案
5. 与产品和业务团队紧密协作，挖掘流程优化点，推动自动化落地
6. 持续优化现有系统性能，解决技术难题，提升产品用户体验
7. 编写技术文档，参与技术分享与团队能力建设
## 任职要求
1. 专科及以上学历，5年以上Python开发经验
2. 精通Python编程语言及常用库（如requests、pandas、selenium等），具备良好的代码规范
3. 有RPA项目开发经验，熟悉至少一种RPA工具或者编程框架者优先
4. 具备人工智能相关项目经验，了解机器学习、深度学习基本原理，有实际模型开发或部署经验者优先
5. 熟悉LangChain、LangGraph等大语言模型应用框架，有实际项目开发经验，能够基于其实现Agent流程编排
6. 具备良好的业务理解能力和流程设计能力，能从业务视角规划自动化方案
7. 有Agent框架使用或编排经验，熟悉多智能体协作模式者优先
8. 加分项：掌握Java编程语言，能进行简单的Java开发工作
9. 具备良好的问题分析与解决能力，较强的学习能力和沟通协作能力",14.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
python开发（急招！！！）,上海麦鹊,20.0,23.0,虹口区,3-5年,本科,500-999人,电子商务,"Django//接受无前端经验/技能//Redis//Python//Flask 1.基于Python技术核，Python3年以上开发经验。
2负责GenAI相关应用系统的开发与技术支持工作。
3.熟悉Python应用相关高并发，多线程开发的相关技术和性能优化经
4.熟悉K8S部署，熟悉阿里云Rediis/0SS/MQ/MySQL等对接开发经验
5.熟悉RAG、Agentic workflow等技术与框架的优先考虑。
6.修复bug，优化性能，确保软件的稳定性和可靠性。
7.保持对Python最新技术和框架的了解，以提升项目的技术栈。
8.熟练使用 Django、Flask 、Web 框架的搭建和使用，熟悉rag，熟悉word/pdf/excel/图片等文档解析相关的开发经验优先考虑",21.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
python开发工程师,瞰点投资,10.0,15.0,浦东新区,应届生,本科,20-99人,基金,"数据开发//Python//计算机相关专业//数学/统计相关专业 岗位职责：
1.负责海量金融行情/交易数据清洗、特征计算等功能实现；
2.参与数学方法建模、数据分析及金融数据挖掘应用研究等工作；
任职要求：
1.本科或以上学历，计算机软件或相关专业；
2.熟练掌握python编程语言；良好的编码习惯，代码结构清晰、命名规范、逻辑性强；
3.悉MySQL、Mongo、Elasticsearch、Redis、PostgreSQL、Neo4j等数据库；
4.有大数据开发经验优先，或者量化投资领域知识优先
5.具备良好的学习能力，责任感强，工作认真负责, 需要有较强的解决问题能力和技术升级能力",12.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Python（线上面试 接受应届）,某大型知名计算机软件公司,18.0,35.0,上海,经验不限,本科,10000人以上,计算机软件,"Python 1、熟悉Python中的一种，熟练掌握mysql数据库基本语法和常用命令，掌握linux相关知识；
2、熟练掌握常用的Python开发框架，包括不限于Django/Flask/Tornado等框架及Linux系统操作等，熟悉微服务开发模式；
3、掌握常见的数据结构、算法，了解软件工程、敏捷开发知识，熟悉常用的设计模式；
4.学历要求全日制统招公办本科及以上，经验不限，接受25届",26.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
python中级工程师,翊数科技,10.0,15.0,松江区,3-5年,大专,20-99人,计算机软件," 岗位职责:
1.负责使用Python进行AI图片处理，确保图片质量和风格符合要求。
2.使用Python开发AI大语言模型，提高模型的性能和准确度。
3.设计并实施PC客户端小工具，以提升用户体验和工作效率。
任职要求:
1.熟练掌握PHP语言，有良好的编程习惯。
2.对AI图片处理和AI大语言模型有一定的理解和实践经验。
3.能够独立设计和开发PC客户端小工具。
员工福利
节日福利	团建聚餐	零食下午茶	带薪年假	
绩效奖金	年终奖	五险一金",12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python程序员,桥之队,6.0,8.0,杨浦区,1-3年,本科,20-99人,互联网," 【岗位职责】
1.从事证券、期货、期权及各类衍生品市场交易策略开发与建模；
2.设计、回测、优化量化交易模型；
3.实盘交易执行：负责策略上线、日常交易管理、监控与调优；
4.有团队意识，根据公司要求严格执行交易规则，并执行交易指令；
5.相关AI项目代码研究与开发；
6.及时跟踪并向上级汇报研究进度及研究成果；
【职位要求】
1.对量化交易感兴趣，做事认真和细心，执行能力强。
2.数学、理学专业，计算机专业优先，统计/数学专业有编程能力，熟练精通Python、C++者优先；
3.精通Python编程语言，有全流程软件开发经验以及量化系统开发相关项目经验优先；
4.数理逻辑强，有金融交易经验者加分，需要有金融应用能力；
5.具有强烈的自驱力和学习能力，有良好的沟通能力和团队协作精神。
早九晚六，周末双休
地铁10号线 同济大学站
……………………………………………………………………………………
【为什么选择我们】：
「朝阳的行业」
 金融+人工智能行业前景一片光明，你将有宝贵的机会和我们团队共同工作、进步。学习到金融、量化投资、人工智能等前沿的金融知识。
「卓越的团队」
 团队成员来自全球名校，如帝国理工学院、卡耐基梅隆、清华大学、北京大学、复旦大学、上海交通大学、同济大学、上海财经大学、上海理工大学的本科、硕士与博士生。
「职业规划终身制」
1、公司内部拥有庞大的技术知识库，公司每周会组织各类的学习，对每个员工进行职业的规划，员工可根据自身的特点和规划选择不同的发展路线，公司提供终身制的职业规划和培养体系。
2、公司鼓励员工自我成长，提升工作能力。公司会为有志在岗位领域自我精进的同事，提供可自愿申请的外出培训机会，所产生的相关费用按照培训周期及在职情况分月报销。
3、公司处于高速发展阶段，有突出贡献者，有机会成为公司股东。
「优越的地理位置」
1、办公地址位于同济联合广场（拥有同济大学和上海市政府基金投资背景），坐落于同济大学本部，拥有浓厚的学术氛围，可以吃遍同济6大食堂（湖南卫视曾报道过：“吃在同济”），这里有上海最好的恒温游泳馆（同济大学游泳馆），羽毛球、乒乓球、网球、篮球场地数不胜数，我公司员工可享受比同济大学生更好的各类场馆设施（去运动，公司报销门票，赞助饮料）。
2、交通便利、地铁直达，地铁同济大学站。
3、公司办公环境开放，企业内部人际关系简单，员工之间相处融洽、和睦（相亲相爱一家人）。
「基础保障」
1、公司有资质为员工办理上海居住证；
2、按国家规定缴纳社会保险公积金（基本养老保险、基本医疗保险、工伤保险、失业保险、生育保险、上海市住房公积）。",7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
